filename	category	required_for	status_notes
8wk_RNA_dataset.csv	raw_data	HSC_scRNA_DANN;HSC_scRNA_ResNet	HuggingFace_dataset_repo
24mon_RNA_dataset.csv	raw_data	HSC_scRNA_DANN;HSC_scRNA_ResNet	HuggingFace_dataset_repo
humanyoung_RNA_dataset.csv	raw_data	HSC_scRNA_DANN;HSC_scRNA_ResNet	HuggingFace_dataset_repo
humanold_RNA_dataset.csv	raw_data	HSC_scRNA_DANN;HSC_scRNA_ResNet	HuggingFace_dataset_repo
featurestemprna.txt	metadata	HSC_scRNA_DANN	HuggingFace_dataset_repo
onehot_encoder.txt	metadata	HSC_scRNA_DANN	HuggingFace_dataset_repo
Bowengenescore_8wk.csv	raw_data	HSC_scATAC_DANN;HSC_scATAC_ResNet	HuggingFace_dataset_repo
Bowengenescore_24mon.csv	raw_data	HSC_scATAC_DANN;HSC_scATAC_ResNet	HuggingFace_dataset_repo
genescore_YM.csv	raw_data	HSC_scATAC_DANN;HSC_scATAC_ResNet	HuggingFace_dataset_repo
genescore_Y664.csv	raw_data	HSC_scATAC_DANN;HSC_scATAC_ResNet	HuggingFace_dataset_repo
genescore_O112.csv	raw_data	HSC_scATAC_DANN;HSC_scATAC_ResNet	HuggingFace_dataset_repo
genescore_O80.csv	raw_data	HSC_scATAC_DANN;HSC_scATAC_ResNet	HuggingFace_dataset_repo
genescore_Y3.csv	raw_data	HSC_scATAC_DANN;HSC_scATAC_ResNet	HuggingFace_dataset_repo
genescore_O76.csv	raw_data	HSC_scATAC_DANN;HSC_scATAC_ResNet	HuggingFace_dataset_repo
featuresold.txt	metadata	HSC_scATAC_DANN	HuggingFace_dataset_repo
mouseyoung_data.csv	raw_data	CD8_scRNA_DANN;CD8_scRNA_ResNet;COVID_application	HuggingFace_dataset_repo
mouseold_data.csv	raw_data	CD8_scRNA_DANN;CD8_scRNA_ResNet;COVID_application	HuggingFace_dataset_repo
syn_sampled_humancd8_young.csv	raw_data	CD8_scRNA_DANN;CD8_scRNA_ResNet;COVID_application	HuggingFace_dataset_repo
syn_sampled_humancd8_old.csv	raw_data	CD8_scRNA_DANN;CD8_scRNA_ResNet;COVID_application	HuggingFace_dataset_repo
featuresCD8.txt	metadata	CD8_scRNA_DANN;CD8_scRNA_ResNet	HuggingFace_dataset_repo
Covid_predicted_ages3/sample_age_wos_min_sorted.csv	metadata	COVID_application	HuggingFace_dataset_repo
preprocessed_Covid3/	raw_data	COVID_application	HuggingFace_dataset_repo
train_clf_model_outsideData.keras	model	CD8_inference	HuggingFace_model_repo
train_emb_model_outsideData.keras	model	CD8_inference	HuggingFace_model_repo
train_clf_model_newest12.21.keras	model	HSC_scATAC_DANN_inference	HuggingFace_model_repo
train_emb_model_newest12.21.keras	model	HSC_scATAC_DANN_inference	HuggingFace_model_repo
train_clfrna_model_newest12.21.keras	model	HSC_scRNA_DANN_inference	HuggingFace_model_repo
train_embrna_model_newest12.21.keras	model	HSC_scRNA_DANN_inference	HuggingFace_model_repo
X_train_multimodal.npy	processed_data	HSC_multimodal_DANN	HuggingFace_dataset_repo
X_test_multimodal.npy	processed_data	HSC_multimodal_DANN	HuggingFace_dataset_repo
train_meta_multimodal.csv	metadata	HSC_multimodal_DANN	HuggingFace_dataset_repo
test_meta_multimodal.csv	metadata	HSC_multimodal_DANN	HuggingFace_dataset_repo
train_feature_names_multimodal.csv	metadata	HSC_multimodal_DANN	HuggingFace_dataset_repo
test_feature_names_multimodal.csv	metadata	HSC_multimodal_DANN	HuggingFace_dataset_repo
atac_train_paired.h5ad	processed_data	HSC_multimodal_DANN_preprocessing_reference	HuggingFace_dataset_repo
rna_train_paired.h5ad	processed_data	HSC_multimodal_DANN_preprocessing_reference	HuggingFace_dataset_repo
atac_test_paired.h5ad	processed_data	HSC_multimodal_DANN_preprocessing_reference	HuggingFace_dataset_repo
rna_test_paired.h5ad	processed_data	HSC_multimodal_DANN_preprocessing_reference	HuggingFace_dataset_repo
train_clfrna_model_multi0401.keras	model	HSC_multimodal_DANN_reference_model	HuggingFace_model_repo
train_embrna_model_multi0401.keras	model	HSC_multimodal_DANN_reference_embedder	HuggingFace_model_repo
