analysis	metric	expected	source
HSC_scRNA_DANN	human_test_AUROC	0.933	manuscript_abstract_and_results
HSC_scRNA_DANN	balanced_accuracy	0.897	manuscript_results
HSC_scRNA_DANN	F1	0.902	manuscript_results
HSC_scRNA_DANN	sensitivity	0.889	manuscript_results
HSC_scRNA_DANN	specificity	0.905	manuscript_results
HSC_scATAC_DANN	human_test_AUROC	0.953	manuscript_abstract_and_results
HSC_scATAC_DANN	balanced_accuracy	0.918	manuscript_results
HSC_scATAC_DANN	F1	0.924	manuscript_results
HSC_scATAC_DANN	sensitivity	0.911	manuscript_results
HSC_scATAC_DANN	specificity	0.926	manuscript_results
CD8_scRNA_DANN	human_test_AUROC	0.941	manuscript_abstract_and_results
CD8_scRNA_DANN	balanced_accuracy	0.906	manuscript_results
CD8_scRNA_DANN	F1	0.908	manuscript_results
CD8_scRNA_DANN	sensitivity	0.926	manuscript_results
CD8_scRNA_DANN	specificity	0.885	manuscript_results
HSC_XAI	IG_Jaccard_top100_mean	0.636	manuscript_results
HSC_XAI	DeepLIFT_Jaccard_top100_mean	0.585	manuscript_results
HSC_XAI	Saliency_Jaccard_top100_mean	0.346	manuscript_results
HSC_XAI	core_genes_frequency_ge_90	824	manuscript_results
HSC_XAI	high_confidence_genes_frequency_ge_80	1165	manuscript_results
HSC_XAI	medium_confidence_genes_frequency_ge_60	1966	manuscript_results
HSC_XAI	XAI_core_Jaccard	0.294	manuscript_results
HSC_XAI	XAI_high_confidence_Jaccard	0.299	manuscript_results
HSC_XAI	XAI_medium_confidence_Jaccard	0.309	manuscript_results
HSC_XAI	DE_top3000_Jaccard	0.136	manuscript_results
HSC_XAI	XAI_vs_DE_shared_enrichment_OR	2.6	manuscript_results
HSC_XAI	XAI_vs_DE_shared_enrichment_P	1e-37	manuscript_results

